#Title: The Algol System SZ Herculis: Physical Nature and Orbital Behavior 
#Authors: Lee J.W., Lee C.-U., Kim S.-L., Kim H.-I., Park J.-H. 
#Table: CCD Photometric Observations of SZ Her
#================================================================================
#Byte-by-byte Description of file: aj413575t2_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units Label    Explanations
#--------------------------------------------------------------------------------
#   1- 13 F13.5  d     HJD-B    ? B band Heliocentric Julian Date observations
#  15- 20 F6.3   mag   DelBmag  ? Differential B band magnitude
#  22- 34 F13.5  d     HJD-V    ? V band Heliocentric Julian Date observations
#  36- 41 F6.3   mag   DelVmag  ? Differential V band magnitude
#  43- 55 F13.5  d     HJD-R    R band Heliocentric Julian Date observations
#  57- 62 F6.3   mag   DelRmag  Differential R band magnitude
#  64- 76 F13.5  d     HJD-I    ? I band Heliocentric Julian Date observations
#  78- 83 F6.3   mag   DelImag  ? Differential I band magnitude
#--------------------------------------------------------------------------------
2454546.27166 -0.541 2454546.27254  0.061 2454546.27674  0.402 2454546.30136  0.732
2454546.27506 -0.540 2454546.27593  0.059 2454546.28014  0.406 2454546.30476  0.725
2454546.27845 -0.544 2454546.27933  0.068 2454546.28355  0.408 2454546.30817  0.734
2454546.28186 -0.535 2454546.28273  0.067 2454546.28695  0.406 2454546.31157  0.739
2454546.28526 -0.540 2454546.28613  0.067 2454546.29035  0.411 2454546.31497  0.729
2454546.28866 -0.537 2454546.28953  0.068 2454546.29716  0.411 2454546.31836  0.733
2454546.29207 -0.535 2454546.29635  0.065 2454546.30056  0.421 2454546.32177  0.736
2454546.29887 -0.524 2454546.29974  0.071 2454546.30397  0.427 2454546.32516  0.739
2454546.30228 -0.531 2454546.30316  0.075 2454546.30737  0.411 2454546.32856  0.741
2454546.30568 -0.522 2454546.30655  0.078 2454546.31076  0.420 2454546.33196  0.744
2454546.30908 -0.523 2454546.30995  0.080 2454546.31417  0.426 2454546.34249  0.751
2454546.31248 -0.521 2454546.31335  0.078 2454546.31757  0.419 2454546.34950  0.755
2454546.31589 -0.522 2454546.31676  0.083 2454546.32097  0.429 2454546.35302  0.767
2454546.31928 -0.525 2454546.32015  0.082 2454546.32436  0.428 2454564.22997  0.691
2454546.32268 -0.525 2454546.32355  0.083 2454546.32776  0.425 2454564.23365  0.680
2454546.32607 -0.519 2454546.32695  0.089 2454546.33115  0.434 2454564.23815  0.693
2454546.32948 -0.517 2454546.33034  0.088 2454546.33464  0.443 2454564.24568  0.693
2454546.33290 -0.516 2454546.33380  0.092 2454546.33815  0.442 2454564.24942  0.692
2454546.33640 -0.516 2454546.33731  0.097 2454546.34166  0.451 2454564.25317  0.684
2454546.33991 -0.508 2454546.34083  0.100 2454546.34517  0.437 2454564.25687  0.689
2454546.34343 -0.516 2454546.34433  0.099 2454546.34868  0.441 2454564.26057  0.684
2454546.34694 -0.511 2454546.34784  0.095 2454546.35220  0.443 2454564.26428  0.690
2454546.35044 -0.510 2454546.35135  0.099 2454546.35572  0.444 2454564.26798  0.695
2454546.35396 -0.513 2454546.35487  0.104 2454564.22516  0.382 2454564.27169  0.694
2454564.22313 -0.562 2454564.22425  0.037 2454564.22911  0.387 2454564.27539  0.691
2454564.22711 -0.557 2454564.22819  0.041 2454564.23281  0.382 2454564.27909  0.697
2454564.23100 -0.560 2454564.23197  0.042 2454564.23729  0.390 2454564.28281  0.702
2454564.23539 -0.560 2454564.23641  0.044 2454564.24107  0.390 2454564.28651  0.700
2454564.23918 -0.553 2454564.24018  0.046 2454564.24483  0.387 2454564.29023  0.702
2454564.24295 -0.555 2454564.24395  0.043 2454564.24858  0.384 2454564.29393  0.712
2454564.24670 -0.553 2454564.24770  0.042 2454564.25233  0.384 2454564.29764  0.705
2454564.25045 -0.559 2454564.25145  0.042 2454564.25604  0.389 2454564.30135  0.707
2454564.25417 -0.553 2454564.25516  0.050 2454564.25974  0.396 2454564.30498  0.710
2454564.25787 -0.557 2454564.25886  0.045 2454564.26344  0.392 2454564.30860  0.711
2454564.26158 -0.555 2454564.26627  0.050 2454564.26715  0.397 2454564.31224  0.719
2454564.26528 -0.550 2454564.26997  0.049 2454564.27085  0.395 2454564.31586  0.716
2454564.26898 -0.546 2454564.27368  0.052 2454564.27456  0.398 2454564.31949  0.721
2454564.27269 -0.549 2454564.27738  0.053 2454564.27826  0.398 2454564.32313  0.722
2454564.27639 -0.542 2454564.28110  0.051 2454564.28198  0.399 2454564.32675  0.724
2454564.28009 -0.546 2454564.28480  0.060 2454564.28568  0.403 2454564.33038  0.722
2454564.28381 -0.545 2454564.28852  0.058 2454564.28940  0.406 2454564.33401  0.729
2454564.28751 -0.548 2454564.29222  0.060 2454564.29310  0.411 2454564.33764  0.738
2454564.29123 -0.547 2454564.29592  0.062 2454564.29680  0.410 2454564.34127  0.745
2454564.29493 -0.539 2454564.29963  0.067 2454564.30052  0.417 2454581.09827  0.705
2454564.29864 -0.540 2454564.30330  0.067 2454564.30416  0.412 2454581.10431  0.709
2454564.30234 -0.544 2454564.30692  0.066 2454564.30778  0.414 2454581.11576  0.708
2454564.30596 -0.536 2454564.31055  0.071 2454564.31142  0.420 2454581.12105  0.715
2454564.30958 -0.534 2454564.31418  0.073 2454564.31504  0.424 2454581.12635  0.713
2454564.31322 -0.533 2454564.31780  0.075 2454564.31866  0.423 2454581.13165  0.724
2454564.31684 -0.529 2454564.32143  0.081 2454564.32230  0.420 2454581.13695  0.734
2454564.32047 -0.523 2454564.32507  0.088 2454564.32593  0.422 2454581.14224  0.757
2454564.32411 -0.528 2454564.32869  0.084 2454564.32955  0.434 2454581.14754  0.766
2454564.32773 -0.526 2454564.33231  0.087 2454564.33319  0.430 2454581.15258  0.780
2454564.33135 -0.522 2454564.33595  0.089 2454564.33682  0.433 2454581.15741  0.788
2454564.33499 -0.519 2454564.33958  0.089 2454564.34045  0.427 2454581.16225  0.800
2454564.33862 -0.515 2454581.10063  0.057 2454581.09930  0.411 2454581.16707  0.826
2454564.34224 -0.516 2454581.10667  0.062 2454581.10534  0.418 2454581.17190  0.844
2454581.10863 -0.497 2454581.11261  0.061 2454581.11139  0.413 2454581.17642  0.869
2454581.11426 -0.496 2454581.11790  0.071 2454581.11672  0.414 2454581.18095  0.888
2454581.11955 -0.499 2454581.12320  0.072 2454581.12202  0.415 2454581.18548  0.903
2454581.12485 -0.499 2454581.12849  0.073 2454581.12731  0.414 2454581.19000  0.926
2454581.13014 -0.501 2454581.13379  0.078 2454581.13261  0.421 2454581.19438  0.954
2454581.13546 -0.481 2454581.13909  0.084 2454581.13791  0.433 2454581.19878  0.976
2454581.14075 -0.479 2454581.14439  0.094 2454581.14321  0.444 2454581.20317  1.000
2454581.14605 -0.481 2454581.14968  0.105 2454581.14850  0.466 2454581.20757  1.007
2454581.15121 -0.466 2454581.15458  0.115 2454581.15349  0.464 2454581.21195  1.027
2454581.15605 -0.457 2454581.15942  0.125 2454581.15833  0.479 2454581.21635  1.010
2454581.16089 -0.454 2454581.16425  0.136 2454581.16316  0.492 2454581.22074  0.998
2454581.16572 -0.447 2454581.16907  0.153 2454581.16799  0.509 2454581.22514  0.990
2454581.17056 -0.438 2454581.17381  0.166 2454581.17278  0.533 2454581.22953  0.968
2454581.17516 -0.429 2454581.17834  0.181 2454581.17731  0.539 2454581.23392  0.936
2454581.17969 -0.418 2454581.18287  0.197 2454581.18184  0.567 2454581.23831  0.917
2454581.18421 -0.417 2454581.18739  0.208 2454581.18636  0.584 2454581.24347  0.913
2454581.18874 -0.401 2454581.19188  0.227 2454581.19087  0.604 2454581.24876  0.874
2454581.19317 -0.395 2454581.19627  0.237 2454581.19527  0.623 2454581.25406  0.857
2454581.19756 -0.382 2454581.20066  0.250 2454581.19965  0.625 2454581.25910  0.836
2454581.20195 -0.374 2454581.20506  0.262 2454581.20405  0.650 2454581.26394  0.834
2454581.20635 -0.364 2454581.20945  0.270 2454581.20844  0.660 2454581.26850  0.810
2454581.21074 -0.363 2454581.21384  0.270 2454581.21284  0.672 2454581.27303  0.794
2454581.21514 -0.360 2454581.21823  0.277 2454581.21722  0.663 2454581.27744  0.774
2454581.21952 -0.361 2454581.22263  0.265 2454581.22162  0.648 2454581.28167  0.759
2454581.22392 -0.370 2454581.22703  0.249 2454581.22601  0.643 2454581.28590  0.749
2454581.22832 -0.378 2454581.23141  0.237 2454581.23041  0.629 2454581.29012  0.733
2454581.23271 -0.389 2454581.23580  0.224 2454581.23479  0.600 2454581.29446  0.738
2454581.23709 -0.394 2454581.24031  0.217 2454581.23918  0.596 2454581.29882  0.716
2454581.24198 -0.408 2454581.24561  0.200 2454581.24443  0.566 2454584.23252  0.718
2454581.24727 -0.418 2454581.25091  0.185 2454581.24973  0.548 2454584.24169  0.711
2454581.25257 -0.429 2454581.25620  0.169 2454581.25502  0.540 2454584.24591  0.709
2454581.25775 -0.444 2454581.26110  0.155 2454581.26002  0.512 2454584.25014  0.706
2454581.26257 -0.443 2454581.26590  0.148 2454581.26485  0.510 2454584.25437  0.696
2454581.26725 -0.455 2454581.27043  0.131 2454581.26939  0.492 2454584.25860  0.682
2454581.27178 -0.460 2454581.27494  0.122 2454581.27392  0.472 2454584.26283  0.698
2454581.27623 -0.475 2454581.27928  0.115 2454581.27829  0.467 2454584.26706  0.694
2454581.28050 -0.472 2454581.28350  0.105 2454581.28253  0.460 2454584.27128  0.689
2454581.28473 -0.484 2454581.28772  0.096 2454581.28675  0.440 2454584.27551  0.686
2454581.28895 -0.499 2454581.29195  0.091 2454581.29096  0.437 2454584.27973  0.683
2454581.29324 -0.500 2454581.29634  0.086 2454581.29533  0.436 2454584.28396  0.689
2454581.30193 -0.500 2454581.30067  0.090 2454581.29968  0.430 2454584.28818  0.687
2454584.23591 -0.549 2454584.23452  0.052 2454584.23343  0.412 2454584.29241  0.681
2454584.24044 -0.548 2454584.23909  0.058 2454584.23806  0.401 2454584.29664  0.688
2454584.24474 -0.552 2454584.24351  0.050 2454584.24254  0.401 2454584.30061  0.678
2454584.24897 -0.558 2454584.24774  0.049 2454584.24677  0.390 2454584.30454  0.681
2454584.25320 -0.559 2454584.25198  0.044 2454584.25100  0.393 2454584.30847  0.683
2454584.25743 -0.564 2454584.25620  0.042 2454584.25523  0.390 2454584.31239  0.683
2454584.26166 -0.564 2454584.26044  0.045 2454584.25945  0.387 2454584.31633  0.689
2454584.26589 -0.565 2454584.26466  0.044 2454584.26369  0.383 2454584.32027  0.697
2454584.27011 -0.565 2454584.26889  0.036 2454584.26791  0.385 2454584.32448  0.685
2454584.27434 -0.568 2454584.27311  0.032 2454584.27214  0.380 2454586.26426  0.692
2454584.27856 -0.570 2454584.27734  0.038 2454584.27636  0.379 2454586.26884  0.695
2454584.28279 -0.570 2454584.28156  0.033 2454584.28059  0.379 2454586.27318  0.689
2454584.28701 -0.571 2454584.28578  0.037 2454584.28481  0.382 2454586.27725  0.695
2454584.29124 -0.575 2454584.29425  0.039 2454584.28904  0.380 2454586.28131  0.694
2454584.29547 -0.573 2454584.29843  0.036 2454584.29750  0.372 2454586.28538  0.692
2454584.29954 -0.570 2454584.30235  0.033 2454584.30144  0.379 2454586.28944  0.682
2454584.30346 -0.572 2454584.30628  0.034 2454584.30536  0.379 2454586.29757  0.691
2454584.30738 -0.572 2454584.31021  0.036 2454584.30930  0.376 2454586.30164  0.684
2454584.31132 -0.572 2454584.31414  0.033 2454584.31322  0.381 2454586.30564  0.678
2454584.31524 -0.571 2454584.31807  0.035 2454584.31716  0.378 2454586.30965  0.690
